Model,HiddenDim,Layers,Dropout,LR,ValAcc,ValPrec,ValRec,ValF1,TestAcc,TestPrec,TestRec,TestF1,RuntimeSec
GIN,32,2,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.3085241317749023
GIN,32,2,0.0,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.0289151668548584
GIN,32,2,0.2,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.4148151874542236
GIN,32,2,0.2,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.4852519035339355
GIN,32,2,0.75,0.001,0.7777777777777778,0.7678571428571428,0.7083333333333333,0.7230769230769231,0.9,0.8666666666666667,0.8666666666666667,0.8666666666666667,2.2216248512268066
GIN,32,2,0.75,0.005,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,2.1804559230804443
GIN,32,3,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.3525643348693848
GIN,32,3,0.0,0.005,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.75,0.7083333333333333,0.7666666666666666,0.7150997150997151,2.300431728363037
GIN,32,3,0.2,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.7765088081359863
GIN,32,3,0.2,0.005,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.75,0.75,0.8333333333333333,0.7333333333333334,2.644993305206299
GIN,32,3,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.6411209106445312
GIN,32,3,0.75,0.005,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,2.7119803428649902
GIN,32,4,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.796142101287842
GIN,32,4,0.0,0.005,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.75,0.75,0.8333333333333333,0.7333333333333334,2.6301469802856445
GIN,32,4,0.2,0.001,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,3.232853412628174
GIN,32,4,0.2,0.005,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.85,0.8125,0.9,0.829059829059829,3.051802158355713
GIN,32,4,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.980783462524414
GIN,32,4,0.75,0.005,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,3.086869716644287
GIN,64,2,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.315793037414551
GIN,64,2,0.0,0.005,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.8,0.7472527472527473,0.8,0.7619047619047619,2.2485756874084473
GIN,64,2,0.2,0.001,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.8,0.8947368421052632,0.6,0.6078431372549019,2.6884939670562744
GIN,64,2,0.2,0.005,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.85,0.8125,0.7666666666666666,0.7849462365591398,2.5761711597442627
GIN,64,2,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.600269317626953
GIN,64,2,0.75,0.005,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.8,0.7472527472527473,0.8,0.7619047619047619,2.5324299335479736
GIN,64,3,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.613051652908325
GIN,64,3,0.0,0.005,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.8,0.7333333333333334,0.7333333333333334,0.7333333333333334,2.7216782569885254
GIN,64,3,0.2,0.001,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.8,0.7472527472527473,0.8,0.7619047619047619,3.495840072631836
GIN,64,3,0.2,0.005,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.75,0.75,0.8333333333333333,0.7333333333333334,3.5102171897888184
GIN,64,3,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.3678340911865234
GIN,64,3,0.75,0.005,0.7777777777777778,0.7625,0.7916666666666667,0.7662337662337663,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,3.1533753871917725
GIN,64,4,0.0,0.001,0.8888888888888888,0.875,0.9166666666666667,0.8831168831168831,0.75,0.6785714285714286,0.7,0.6865203761755485,3.145425319671631
GIN,64,4,0.0,0.005,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,3.054924726486206
GIN,64,4,0.2,0.001,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.8,0.7472527472527473,0.8,0.7619047619047619,3.8364691734313965
GIN,64,4,0.2,0.005,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,3.921126127243042
GIN,64,4,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.7705063819885254
GIN,64,4,0.75,0.005,0.8333333333333334,0.8333333333333333,0.875,0.8285714285714285,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,4.012868404388428
